date,tweets
07-16-2014,20
07-17-2014,24
07-18-2014,8
07-19-2014,3
07-20-2014,3
07-21-2014,21
07-22-2014,10
07-23-2014,24
07-24-2014,15
07-25-2014,7
07-26-2014,4
07-28-2014,15
07-29-2014,38
07-30-2014,15
07-31-2014,34
08-01-2014,19
08-02-2014,8
08-03-2014,3
08-04-2014,14
08-05-2014,24
08-06-2014,8
08-07-2014,10
08-08-2014,22
08-09-2014,6
08-11-2014,23
08-12-2014,26
08-13-2014,8
08-14-2014,1
08-15-2014,1
08-18-2014,6
08-19-2014,13
08-20-2014,7
08-21-2014,17
08-22-2014,15
08-23-2014,13
08-25-2014,26
08-26-2014,10
08-27-2014,21
08-28-2014,8
08-29-2014,8
08-30-2014,1
08-31-2014,25
09-01-2014,3
09-02-2014,22
09-03-2014,21
09-04-2014,13
09-05-2014,12
09-06-2014,32
09-07-2014,6
09-08-2014,19
09-09-2014,23
09-10-2014,10
09-11-2014,22
09-12-2014,10
09-13-2014,21
09-14-2014,6
09-15-2014,10
09-16-2014,17
09-17-2014,57
09-18-2014,13
09-19-2014,14
09-20-2014,8
09-21-2014,2
09-22-2014,18
09-23-2014,31
09-24-2014,14
09-25-2014,7
09-26-2014,16
09-27-2014,5
09-28-2014,7
09-29-2014,30
09-30-2014,28
10-01-2014,18
10-02-2014,15
10-03-2014,13
10-04-2014,11
10-05-2014,4
10-06-2014,16
10-07-2014,22
10-08-2014,26
10-09-2014,27
10-10-2014,52
10-11-2014,11
10-12-2014,9
10-13-2014,33
10-14-2014,6
10-15-2014,29
10-16-2014,19
10-17-2014,30
10-18-2014,1
10-19-2014,14
10-20-2014,32
10-21-2014,17
10-22-2014,15
10-23-2014,26
10-24-2014,14
10-25-2014,4
10-26-2014,12
10-27-2014,25
10-28-2014,34
10-29-2014,24
10-30-2014,17
10-31-2014,23
11-01-2014,24
11-02-2014,34
11-03-2014,18
11-04-2014,42
11-05-2014,18
11-06-2014,44
11-07-2014,34
11-09-2014,19
11-10-2014,46
11-11-2014,18
11-12-2014,8
11-13-2014,9
11-14-2014,6
11-16-2014,10
11-17-2014,12
11-18-2014,21
11-19-2014,15
11-20-2014,12
11-21-2014,22
11-22-2014,12
11-23-2014,32
11-24-2014,30
11-25-2014,21
11-26-2014,21
11-27-2014,5
11-28-2014,20
11-29-2014,13
11-30-2014,2
12-01-2014,42
12-02-2014,64
12-03-2014,23
12-04-2014,7
12-05-2014,11
12-07-2014,19
12-08-2014,34
12-09-2014,47
12-10-2014,36
12-11-2014,31
12-12-2014,1
12-13-2014,17
12-14-2014,6
12-15-2014,38
12-16-2014,16
12-17-2014,11
12-18-2014,19
12-19-2014,28
12-20-2014,19
12-21-2014,4
12-22-2014,16
12-23-2014,28
12-24-2014,28
12-26-2014,28
12-27-2014,10
12-28-2014,18
12-29-2014,30
12-30-2014,16
12-31-2014,32
01-01-2015,6
01-02-2015,45
01-03-2015,42
01-04-2015,154
01-05-2015,126
01-06-2015,33
01-07-2015,50
01-08-2015,65
01-09-2015,15
01-10-2015,13
01-11-2015,9
01-12-2015,40
01-13-2015,22
01-14-2015,21
01-15-2015,24
01-16-2015,9
01-17-2015,20
01-18-2015,13
01-19-2015,72
01-20-2015,31
01-21-2015,12
01-22-2015,24
01-23-2015,6
01-24-2015,44
01-25-2015,10
01-26-2015,90
01-27-2015,19
01-28-2015,29
01-29-2015,13
01-30-2015,30
01-31-2015,11
02-01-2015,11
02-02-2015,70
02-03-2015,13
02-04-2015,16
02-05-2015,8
02-06-2015,9
02-07-2015,6
02-08-2015,3
02-09-2015,79
02-10-2015,43
02-11-2015,7
02-12-2015,12
02-13-2015,22
02-14-2015,21
02-15-2015,11
02-16-2015,14
02-17-2015,14
02-18-2015,14
02-19-2015,19
02-20-2015,12
02-21-2015,8
02-22-2015,4
02-23-2015,22
02-24-2015,14
02-25-2015,6
02-26-2015,2
02-27-2015,3
02-28-2015,5
03-01-2015,5
03-02-2015,5
03-03-2015,8
03-04-2015,12
03-05-2015,22
03-06-2015,14
03-08-2015,3
03-09-2015,16
03-10-2015,8
03-11-2015,40
03-12-2015,6
03-13-2015,8
03-15-2015,4
03-16-2015,17
03-17-2015,8
03-18-2015,17
03-19-2015,12
03-20-2015,11
03-22-2015,6
03-23-2015,65
03-24-2015,32
03-25-2015,14
03-26-2015,20
03-27-2015,13
03-29-2015,1
03-30-2015,19
03-31-2015,68
04-01-2015,21
04-02-2015,9
04-03-2015,4
04-04-2015,5
04-05-2015,7
04-06-2015,42
04-07-2015,5
04-08-2015,18
04-09-2015,18
04-10-2015,45
04-11-2015,37
04-12-2015,82
04-13-2015,24
04-14-2015,5
